time,open,high,low,close,spread_price
2025-05-12 16:30:00,2083.15,2088.1,2083.1,2087.85,0.2
2025-05-12 16:45:00,2087.85,2094.45,2087.35,2093.95,0.2
2025-05-12 17:00:00,2093.9,2100.55,2093.05,2096.65,0.2
2025-05-12 17:15:00,2096.65,2097.15,2093.45,2095.25,0.2
2025-05-12 17:30:00,2095.25,2097.75,2094.05,2096.35,0.2
2025-05-12 17:45:00,2096.3,2097.15,2093.95,2094.0,0.2
2025-05-12 18:00:00,2094.05,2096.5,2090.85,2092.35,0.2
2025-05-12 18:15:00,2092.4,2095.05,2091.55,2092.6,0.2
2025-05-12 18:30:00,2092.6,2095.5,2092.6,2093.75,0.2
2025-05-12 18:45:00,2093.8,2095.2,2091.1,2091.8,0.2
2025-05-12 19:00:00,2091.85,2096.55,2090.25,2094.25,0.2
2025-05-12 19:15:00,2094.3,2096.35,2091.9,2092.25,0.2
2025-05-12 19:30:00,2092.35,2094.8,2091.2,2092.7,0.2
2025-05-12 19:45:00,2092.7,2094.95,2090.45,2094.55,0.2
2025-05-12 20:00:00,2094.55,2098.85,2093.7,2094.35,0.2
2025-05-12 20:15:00,2094.35,2095.65,2094.1,2095.45,0.2
2025-05-12 20:30:00,2095.45,2096.15,2095.35,2095.45,0.2
2025-05-12 20:45:00,2095.4,2096.57,2094.5,2096.17,0.2
2025-05-12 22:00:00,2096.67,2096.67,2092.92,2093.32,0.36
2025-05-12 22:15:00,2093.27,2094.42,2092.92,2093.82,0.36
2025-05-12 22:30:00,2093.82,2093.82,2091.72,2091.87,0.36
2025-05-12 22:45:00,2091.87,2092.12,2090.87,2091.22,0.36
2025-05-12 23:00:00,2091.22,2093.82,2091.22,2093.42,0.36
2025-05-12 23:15:00,2093.32,2095.12,2093.32,2094.72,0.36
2025-05-12 23:30:00,2094.72,2095.12,2092.17,2092.32,0.36
2025-05-12 23:45:00,2092.42,2092.52,2089.22,2089.22,0.36
2025-05-13 00:00:00,2089.27,2089.42,2087.12,2088.22,0.36
2025-05-13 00:15:00,2088.22,2088.82,2087.02,2087.52,0.36
2025-05-13 00:30:00,2087.52,2087.52,2084.92,2085.72,0.36
2025-05-13 00:45:00,2085.72,2086.22,2084.52,2084.72,0.36
2025-05-13 01:00:00,2084.72,2085.17,2083.62,2084.12,0.36
2025-05-13 01:15:00,2084.12,2085.52,2083.92,2084.62,0.36
2025-05-13 01:30:00,2084.72,2086.12,2083.92,2084.12,0.36
2025-05-13 01:45:00,2084.12,2085.32,2084.02,2085.12,0.36
2025-05-13 02:00:00,2085.12,2086.72,2084.72,2085.92,0.36
2025-05-13 02:15:00,2085.92,2085.92,2083.37,2083.62,0.36
2025-05-13 02:30:00,2083.67,2084.02,2083.07,2083.72,0.36
2025-05-13 02:45:00,2083.72,2083.87,2082.42,2083.82,0.36
2025-05-13 03:00:00,2083.82,2084.12,2081.22,2082.62,0.36
2025-05-13 03:15:00,2082.52,2083.02,2082.32,2082.52,0.36
2025-05-13 03:30:00,2082.62,2083.82,2082.32,2083.82,0.36
2025-05-13 03:45:00,2083.82,2084.02,2082.32,2082.42,0.36
2025-05-13 04:00:00,2082.42,2083.17,2081.72,2082.82,0.36
2025-05-13 04:15:00,2082.72,2083.37,2081.97,2082.02,0.36
2025-05-13 04:30:00,2082.02,2082.22,2080.32,2082.22,0.36
2025-05-13 04:45:00,2082.22,2083.12,2081.82,2081.82,0.36
2025-05-13 05:00:00,2081.92,2083.52,2081.47,2082.32,0.36
2025-05-13 05:15:00,2082.27,2083.42,2081.22,2082.92,0.36
2025-05-13 05:30:00,2082.92,2083.82,2082.47,2083.82,0.36
2025-05-13 05:45:00,2083.82,2083.92,2083.12,2083.82,0.36
2025-05-13 06:00:00,2083.92,2086.32,2083.82,2086.12,0.36
2025-05-13 06:15:00,2086.02,2086.42,2083.92,2084.02,0.36
2025-05-13 06:30:00,2084.07,2085.82,2083.82,2085.17,0.36
2025-05-13 06:45:00,2085.17,2085.52,2083.22,2083.32,0.36
2025-05-13 07:00:00,2083.32,2085.2,2082.3,2084.8,0.2
2025-05-13 07:15:00,2084.8,2086.75,2083.25,2085.2,0.2
2025-05-13 07:30:00,2085.1,2087.0,2083.2,2083.7,0.2
2025-05-13 07:45:00,2083.7,2084.9,2083.2,2084.4,0.2
2025-05-13 08:00:00,2084.4,2086.0,2083.6,2085.3,0.2
2025-05-13 08:15:00,2085.3,2088.3,2085.3,2087.5,0.2
2025-05-13 08:30:00,2087.5,2090.25,2087.2,2088.6,0.2
