time,open,high,low,close,volume
2024-02-07 00:45:00,147.867,147.945,147.825,147.853,1227
2024-02-07 01:00:00,147.853,147.863,147.793,147.841,676
2024-02-07 01:15:00,147.841,147.864,147.797,147.83,808
2024-02-07 01:30:00,147.832,147.851,147.791,147.802,581
2024-02-07 01:45:00,147.802,147.808,147.713,147.803,836
2024-02-07 02:00:00,147.803,147.894,147.803,147.864,755
2024-02-07 02:15:00,147.864,147.877,147.827,147.856,616
2024-02-07 02:30:00,147.856,147.923,147.845,147.917,562
2024-02-07 02:45:00,147.917,147.99,147.881,147.905,641
2024-02-07 03:00:00,147.905,147.915,147.826,147.841,579
2024-02-07 03:15:00,147.841,147.876,147.82,147.85,632
2024-02-07 03:30:00,147.85,147.876,147.836,147.842,619
2024-02-07 03:45:00,147.842,147.903,147.841,147.901,429
2024-02-07 04:00:00,147.902,147.932,147.89,147.93,482
2024-02-07 04:15:00,147.93,147.933,147.878,147.898,403
2024-02-07 04:30:00,147.897,147.929,147.885,147.923,200
2024-02-07 04:45:00,147.923,147.975,147.896,147.973,374
2024-02-07 05:00:00,147.973,147.98,147.912,147.976,649
2024-02-07 05:15:00,147.976,147.997,147.945,147.992,340
2024-02-07 05:30:00,147.992,147.993,147.934,147.952,804
2024-02-07 05:45:00,147.952,147.98,147.933,147.951,488
2024-02-07 06:00:00,147.951,147.984,147.91,147.976,530
2024-02-07 06:15:00,147.976,148.05,147.918,148.041,632
2024-02-07 06:30:00,148.042,148.045,147.985,148.015,752
2024-02-07 06:45:00,148.015,148.061,148.0,148.026,546
2024-02-07 07:00:00,148.026,148.029,147.904,147.905,1104
2024-02-07 07:15:00,147.905,147.912,147.793,147.807,1160
2024-02-07 07:30:00,147.807,147.864,147.749,147.838,986
2024-02-07 07:45:00,147.839,147.886,147.805,147.823,1024
2024-02-07 08:00:00,147.823,147.899,147.813,147.895,1516
2024-02-07 08:15:00,147.895,148.007,147.888,147.993,1086
2024-02-07 08:30:00,147.993,148.057,147.968,147.994,1105
2024-02-07 08:45:00,147.994,148.094,147.959,148.071,1292
2024-02-07 09:00:00,148.071,148.078,148.012,148.033,1087
2024-02-07 09:15:00,148.033,148.071,147.971,147.976,952
2024-02-07 09:30:00,147.976,147.976,147.906,147.906,795
2024-02-07 09:45:00,147.906,147.944,147.89,147.917,878
2024-02-07 10:00:00,147.917,147.963,147.903,147.959,1154
2024-02-07 10:15:00,147.959,148.043,147.934,148.041,1337
2024-02-07 10:30:00,148.041,148.088,148.02,148.07,775
2024-02-07 10:45:00,148.07,148.156,148.067,148.124,805
2024-02-07 11:00:00,148.124,148.137,148.067,148.072,1097
2024-02-07 11:15:00,148.072,148.077,147.978,147.992,1225
2024-02-07 11:30:00,147.992,148.049,147.96,148.039,937
2024-02-07 11:45:00,148.039,148.101,148.032,148.086,601
2024-02-07 12:00:00,148.085,148.164,148.084,148.158,862
2024-02-07 12:15:00,148.158,148.228,148.156,148.199,1143
2024-02-07 12:30:00,148.199,148.227,148.17,148.195,1007
2024-02-07 12:45:00,148.195,148.257,148.18,148.209,1105
2024-02-07 13:00:00,148.208,148.237,148.153,148.154,1313
2024-02-07 13:15:00,148.155,148.169,148.079,148.129,1276
2024-02-07 13:30:00,148.126,148.161,148.077,148.129,1503
2024-02-07 13:45:00,148.129,148.258,148.119,148.182,1554
2024-02-07 14:00:00,148.183,148.183,148.022,148.045,1841
2024-02-07 14:15:00,148.045,148.178,148.006,148.177,1569
2024-02-07 14:30:00,148.177,148.226,147.782,147.831,3146
2024-02-07 14:45:00,147.831,147.835,147.63,147.784,3981
